"date","_5SP151040-open","_5SP151040-high","_5SP151040-low","_5SP151040-close","_5SP151040-vol"
"5/19/2016","89.87","92.8","88.88","92.77","0"
"5/20/2016","92.95","94.13","91.49","92.6","0"
"5/23/2016","91.72","94.56","91.2","93.78","0"
"5/24/2016","93.48","93.81","91.93","91.96","0"
"5/25/2016","92.11","94.87","91.68","94.56","0"
"5/26/2016","94.97","96.65","93.32","93.87","0"
"5/27/2016","93.85","94.2","91.7","92.67","0"
"5/31/2016","92.68","94.51","92.4","92.83","0"
"6/1/2016","92.6","93.03","90.62","92.29","0"
"6/2/2016","91.7","92.67","90.86","92.39","0"
"6/3/2016","94.03","96.66","94","96.6","0"
"6/6/2016","96.66","98.77","96.66","98.63","0"
"6/7/2016","98.53","98.53","97.1","97.29","0"
"6/8/2016","97.61","100.89","97.61","99.23","0"
"6/9/2016","99.23","99.23","96.45","97.61","0"
"6/10/2016","97.1","97.68","95.27","95.69","0"
"6/13/2016","95.73","97.43","95.24","95.24","0"
"6/14/2016","95.17","95.29","92.4","93.55","0"
"6/15/2016","94.24","98.17","94.24","97.23","0"
"6/16/2016","96.78","97.46","95.09","96.24","0"
"6/17/2016","96.24","98.65","96.24","97.23","0"
"6/20/2016","97.26","99.6","97.26","98.63","0"
"6/21/2016","98.58","98.58","96.85","97.87","0"
"6/22/2016","98.17","99.07","97.5","98.25","0"
"6/23/2016","98.57","99.87","98.29","99.52","0"
"6/24/2016","99.52","101.22","95.5","95.75","0"
"6/27/2016","95.7","96.11","93.04","93.91","0"
"6/28/2016","93.83","96.04","93.83","95.58","0"
"6/29/2016","97.02","97.21","95.91","95.99","0"
"6/30/2016","96.96","99.04","95.98","99.02","0"
"7/1/2016","99.63","101.7","99.2","101.33","0"
"7/5/2016","101.11","101.11","97.77","98.57","0"
"7/6/2016","99","101.17","98.42","101.13","0"
"7/7/2016","100.7","101.68","100.1","100.84","0"
"7/8/2016","101.31","103.92","101.31","103.88","0"
"7/11/2016","104.1","106.02","103.72","106.01","0"
"7/12/2016","107.45","110.19","107.45","109.65","0"
"7/13/2016","109.86","110.72","108.98","110.63","0"
"7/14/2016","110.78","111.54","109.25","111.41","0"
"7/15/2016","111.27","112.26","110.96","111.86","0"
"7/18/2016","111.81","112.31","110.09","112.29","0"
"7/19/2016","111.84","111.84","109.1","109.52","0"
"7/20/2016","108.81","108.81","105.17","106.61","0"
"7/21/2016","107.13","109.13","106.85","107.86","0"
"7/22/2016","107.75","108.41","107.19","108.23","0"
"7/25/2016","108.09","108.09","105.46","106.36","0"
"7/26/2016","106.28","108.92","104.31","108.84","0"
"7/27/2016","109.04","111.96","108.34","110.61","0"
"7/28/2016","110.46","110.98","109.49","110.71","0"
"7/29/2016","110.68","111.84","109.57","111.66","0"
"8/1/2016","111.66","111.66","109.83","110.35","0"
"8/2/2016","110.91","111.38","110.05","111.17","0"
"8/3/2016","111.07","111.33","109.53","110.88","0"
"8/4/2016","110.5","111.34","109.83","110.53","0"
"8/5/2016","110.67","110.69","108.64","110.28","0"
"8/8/2016","110.46","111.57","110.2","110.46","0"
"8/9/2016","110.24","111.05","109.51","109.78","0"
"8/10/2016","110.59","111.52","109.6","109.84","0"
"8/11/2016","109.97","110.49","109.4","110.1","0"
"8/12/2016","110.36","110.36","107.53","107.95","0"
"8/15/2016","108.23","110.32","108.14","109.62","0"
"8/16/2016","109.82","109.92","108.02","108.02","0"
"8/17/2016","108","108.18","106.11","107.66","0"
"8/18/2016","107.87","108.9","107.71","108.88","0"
"8/19/2016","108.62","108.62","106.63","107.32","0"
"8/22/2016","105.78","106.99","105.51","106.55","0"
"8/23/2016","107.07","108.33","106.84","106.95","0"
"8/24/2016","105.74","105.74","100.71","100.87","0"
"8/25/2016","100.94","102.19","100.63","101.2","0"
"8/26/2016","102.04","103.93","99.98","100.34","0"
"8/29/2016","100.37","102.65","100.2","102.24","0"
"8/30/2016","101.54","101.61","98.35","98.85","0"
"8/31/2016","97.83","98.35","97.25","97.77","0"
"9/1/2016","97.94","99.38","97.23","99.37","0"
"9/2/2016","100.48","102.26","99.54","100.41","0"
"9/6/2016","101.19","102.8","100.53","102.8","0"
"9/7/2016","102.66","102.8","101.27","102.59","0"
"9/8/2016","102.44","102.68","101.12","101.57","0"
"9/9/2016","101.13","101.13","96.33","96.78","0"
"9/12/2016","95.06","100.49","94.76","100.15","0"
"9/13/2016","99.26","99.26","94.96","95.74","0"
"9/14/2016","95.34","95.76","93.55","94.06","0"
"9/15/2016","94.04","95.43","92.96","94.82","0"
"9/16/2016","94.82","95.03","93.2","94.37","0"
"9/19/2016","94.85","95.54","94.15","94.61","0"
"9/20/2016","94.72","95.18","93.67","94.51","0"
"9/21/2016","95.56","99.61","95.5","99.42","0"
"9/22/2016","100.55","102.13","99.62","100.29","0"
"9/23/2016","100.17","100.92","98.65","99.02","0"
"9/26/2016","99.03","99.97","98.39","98.43","0"
"9/27/2016","98.06","98.06","95.87","97.2","0"
"9/28/2016","97.31","100","96.56","99.99","0"
"9/29/2016","99.68","100.72","98.39","99.15","0"
"9/30/2016","99.78","101.13","99.65","100.36","0"
"10/3/2016","100.28","100.87","98.28","98.67","0"
"10/4/2016","98.29","98.29","93.93","94.4","0"
"10/5/2016","94.78","95.97","94.72","95.87","0"
"10/6/2016","94.93","95.63","94.45","95.05","0"
"10/7/2016","95.39","96.47","93.01","94.08","0"
"10/10/2016","94.45","95.86","94.38","94.54","0"
"10/11/2016","94.39","94.39","90.84","91.07","0"
"10/12/2016","91.11","91.8","90.43","91.35","0"
"10/13/2016","90.84","91.09","88.7","90.19","0"
"10/14/2016","90.88","91.21","89.56","89.69","0"
"10/17/2016","89.44","91.09","89.44","90","0"
"10/18/2016","90.9","91.83","90.07","91.63","0"
"10/19/2016","92.22","93.97","91.21","93.71","0"
"10/20/2016","92.97","94.28","91.41","94.03","0"
"10/21/2016","93.7","93.7","92.53","93.03","0"
"10/24/2016","93.46","93.65","92.07","92.76","0"
"10/25/2016","92.9","95.15","92.9","94.07","0"
"10/26/2016","93.62","94.53","93.21","94.3","0"
"10/27/2016","94.13","94.61","92.45","93.34","0"
"10/28/2016","93.53","95.35","93.51","94.84","0"
"10/31/2016","95.11","97.69","94.85","97.6","0"
"11/1/2016","98.05","103.59","96.18","96.31","0"
"11/2/2016","96.53","98","94.42","94.43","0"
"11/3/2016","94.76","96.36","94.49","95.68","0"
"11/4/2016","95.7","97.52","94.75","97.24","0"
"11/7/2016","97.81","98.86","95.93","97.31","0"
"11/8/2016","97.01","99.19","97.01","98.81","0"
"11/9/2016","98.81","107.19","98.81","106.1","0"
"11/10/2016","106.45","108.7","105.98","106.34","0"
"11/11/2016","106.55","107.19","102.35","103.21","0"
"11/14/2016","103.68","104.85","102.02","104.75","0"
"11/15/2016","104.19","106.87","103.02","106.74","0"
"11/16/2016","105.71","106.24","104.35","105.82","0"
"11/17/2016","106.11","106.56","103.85","104.47","0"
"11/18/2016","104.34","105.22","103.2","103.91","0"
"11/21/2016","104.26","106.69","104.26","106.69","0"
"11/22/2016","106.69","110.13","106.69","109.95","0"
"11/23/2016","109.19","111.48","107.18","110.92","0"
"11/25/2016","110.92","111.6","110.51","111.07","0"
"11/28/2016","110.89","111.73","110.25","111.58","0"
"11/29/2016","109.4","110.5","108.21","109.53","0"
"11/30/2016","109.48","111.5","108.49","109.64","0"
"12/1/2016","110.35","110.44","108.49","108.54","0"
"12/2/2016","108.33","111.8","108.33","111.52","0"
"12/5/2016","112.27","114.13","111.67","113.79","0"
"12/6/2016","113.41","114.08","112.87","113.66","0"
"12/7/2016","114.57","114.73","112.9","113.91","0"
"12/8/2016","114.8","115.67","113.64","114.37","0"
"12/9/2016","114.79","115.01","112.21","112.95","0"
"12/12/2016","114.06","114.06","110.74","111.02","0"
"12/13/2016","111.13","111.85","108.85","111.16","0"
"12/14/2016","110.91","112.08","107.65","107.69","0"
"12/15/2016","104.95","107.58","104.67","106.69","0"
"12/16/2016","106.52","106.73","104.16","104.21","0"
