"date","_NDXD-open","_NDXD-high","_NDXD-low","_NDXD-close","_NDXD-vol"
"2/23/2017","5358.03","5358.53","5309.99","5332.37","187967"
"2/24/2017","5305.23","5343.31","5304.01","5343.31","168328"
"2/27/2017","5330.56","5347.88","5322.14","5347.55","187609"
"2/28/2017","5344.18","5347.47","5316.7","5330.31","229838"
"3/1/2017","5368.65","5398.43","5355.38","5390.99","221036"
"3/2/2017","5386.34","5387.73","5355.53","5363.26","204077"
"3/3/2017","5355.21","5373.48","5344.48","5373.48","185213"
"3/6/2017","5352.61","5368.27","5338.61","5360.31","176784"
"3/7/2017","5348.2","5373.26","5341.43","5351.28","182200"
"3/8/2017","5351.35","5375.77","5348.73","5359.81","181048"
"3/9/2017","5355.78","5370.66","5336.08","5363.98","188393"
"3/10/2017","5390.46","5394.66","5364.1","5385.9","198215"
"3/13/2017","5387.73","5396.39","5382.02","5394.57","179934"
"3/14/2017","5382.79","5384.88","5360.7","5382.17","166317"
"3/15/2017","5392.48","5426.84","5375.88","5416.25","195269"
"3/16/2017","5421.46","5423.66","5399.27","5412.08","176698"
"3/17/2017","5413.47","5423.28","5406.81","5408.76","318413"
"3/20/2017","5406.02","5426.47","5400.16","5413.31","173055"
"3/21/2017","5433.28","5439.58","5328.71","5332.53","219209"
"3/22/2017","5332.64","5372.27","5327.25","5367.55","185768"
"3/23/2017","5356.71","5375.43","5346.3","5355.14","174264"
"3/24/2017","5376.74","5392.28","5345.94","5364","184192"
"3/27/2017","5320.96","5383.22","5316.02","5374.27","167076"
"3/28/2017","5371.9","5422.25","5363.29","5407.21","182086"
"3/29/2017","5410.14","5433.36","5405.1","5430.27","171868"
"3/30/2017","5430.31","5446.51","5425.3","5439.74","172377"
"3/31/2017","5430.99","5451.5","5427.5","5436.23","190280"
"4/3/2017","5440.2","5453.44","5403.31","5432.2","185420"
"4/4/2017","5415.53","5441.34","5415.3","5440.41","179084"
"4/5/2017","5447.27","5479.86","5409.04","5418.52","220449"
"4/6/2017","5423.65","5435.06","5407.87","5420.88","184580"
"4/7/2017","5420.94","5434.18","5400.08","5418.37","169215"
"4/10/2017","5423.57","5442.71","5406.58","5421.68","163007"
"4/11/2017","5413.91","5422.79","5359.14","5398.4","182165"
"4/12/2017","5394.61","5399.55","5370.24","5377.03","165896"
"4/13/2017","5370.69","5398.99","5353.59","5353.59","158187"
"4/17/2017","5369.21","5399.2","5367.59","5399.2","138129"
"4/18/2017","5383.74","5405.54","5377.91","5391.66","160887"
"4/19/2017","5416.3","5431","5392.28","5399.64","175262"
"4/20/2017","5422.47","5455.88","5413.32","5443.53","174911"
"4/21/2017","5447.28","5450.81","5430.22","5442.05","172321"
"4/24/2017","5503.27","5513.57","5494.46","5508.03","183657"
"4/25/2017","5523.48","5557.93","5521.52","5548.19","189543"
"4/26/2017","5553.6","5563.97","5537.99","5541.09","189421"
"4/27/2017","5555.27","5573.26","5551.55","5571.28","187670"
"4/28/2017","5598.47","5600","5575.21","5583.53","199516"
"5/1/2017","5602.44","5640.48","5600.31","5629.63","175700"
"5/2/2017","5642.41","5645.08","5625.49","5644.07","214673"
"5/3/2017","5624.88","5629.78","5608.16","5625.16","214936"
"5/4/2017","5623.57","5633.49","5606.05","5626.32","205627"
"5/5/2017","5640.78","5646.09","5619.6","5646.09","189957"
"5/8/2017","5649.18","5659.07","5638","5659.07","190971"
"5/9/2017","5667.98","5691.21","5664","5678.31","199749"
"5/10/2017","5681.33","5683.64","5661.44","5681.68","210800"
"5/11/2017","5662.59","5675.5","5637.4","5674.22","195091"
"5/12/2017","5683.58","5687.42","5672.04","5686.81","174096"
"5/15/2017","5687.97","5706.61","5683.1","5704.48","185079"
"5/16/2017","5715.15","5724.71","5699.41","5724.44","199933"
"5/17/2017","5673.62","5688.74","5578.16","5580.55","2012431"
"5/18/2017","5569.81","5645.08","5568.47","5626.31","213152"
"5/19/2017","5640.71","5673.63","5640.68","5651.56","190552"
"5/22/2017","5662.95","5701.05","5661.59","5699.4","172623"
"5/23/2017","5714.94","5716.55","5690.2","5703.35","170586"
"5/24/2017","5720.83","5732.57","5705.17","5730.3","166605"
"5/25/2017","5748.29","5793.13","5738.82","5778.37","176769"
"5/26/2017","5782.17","5790.2","5771.71","5788.36","157104"
"5/30/2017","5785.38","5799.99","5781.37","5794.63","168848"
"5/31/2017","5812.97","5813.26","5762.56","5788.8","220940"
"6/1/2017","5804.17","5816.6","5779.89","5816.51","1403911"
"6/2/2017","5834.41","5881.46","5825.74","5881.46","182000"
"6/5/2017","5881.22","5888.92","5871.09","5878.12","173982"
"6/6/2017","5869.48","5890.88","5848.32","5856.77","188969"
"6/7/2017","5871.77","5883.19","5845.96","5877.59","182227"
"6/8/2017","5894.75","5895.18","5852.65","5885.3","212878"
"6/9/2017","5891.67","5897.69","5657.76","5741.94","315205"
"6/12/2017","5677.16","5716.2","5633.34","5708.18","258654"
"6/13/2017","5740.21","5760.54","5709.17","5751.82","206211"
"6/14/2017","5774.12","5774.2","5682.35","5727.07","194044"
"6/15/2017","5661.36","5707.37","5634.58","5700.89","185813"
"6/16/2017","5694.21","5695.74","5656.62","5681.48","312064"
"6/19/2017","5729.54","5776.37","5724.49","5772.22","197697"
"6/20/2017","5763","5772.17","5725.01","5726.31","257013"
"6/21/2017","5740.58","5784.92","5737.01","5782.39","240144"
"6/22/2017","5787.44","5802.46","5767.87","5779.87","217025"
"6/23/2017","5775.03","5810.31","5759.7","5803.11","2704602"
"6/26/2017","5832.31","5845.15","5765.87","5777.59","215063"
"6/27/2017","5752.72","5761.04","5671.6","5671.6","218183"
"6/28/2017","5693.48","5757.23","5660.53","5753.03","206940"
"6/29/2017","5723.31","5723.66","5599.44","5653.02","240225"
"6/30/2017","5676.4","5681.9","5637.74","5646.92","199833"
"7/3/2017","5680.36","5684.98","5592.53","5596.96","109102"
"7/5/2017","5611","5663.6","5593.66","5648.82","187213"
"7/6/2017","5606.42","5628.84","5579.64","5597.9","199059"
"7/7/2017","5618.85","5673.02","5618.85","5656.47","170063"
"7/10/2017","5662.71","5708.62","5650.26","5694.15","167547"
"7/11/2017","5687.03","5717.91","5667.27","5709.8","180811"
"7/12/2017","5757.2","5785","5749.65","5778.95","182055"
"7/13/2017","5785.32","5806.18","5776.62","5793.36","180381"
