,Date,Open,High,Low,Close,Adj Close,Volume
45,"Dec 19, 2022",116.83,117.80,114.33,114.48,114.48,"29,769,900"
46,"Dec 16, 2022",120.23,123.31,118.82,119.43,119.43,"67,064,000"
47,"Dec 15, 2022",118.33,118.63,114.01,116.15,116.15,"34,531,000"
48,"Dec 14, 2022",119.39,124.14,119.39,121.59,121.59,"36,922,000"
49,"Dec 13, 2022",122.13,123.30,118.64,120.15,120.15,"44,701,100"
50,"Dec 12, 2022",115.18,115.72,113.14,114.71,114.71,"24,747,100"
51,"Dec 09, 2022",115.30,117.54,113.87,115.90,115.90,"26,033,400"
52,"Dec 08, 2022",116.39,117.34,114.59,115.33,115.33,"30,619,400"
53,"Dec 07, 2022",113.76,115.88,112.88,113.93,113.93,"29,461,100"
54,"Dec 06, 2022",119.91,120.55,113.74,114.12,114.12,"43,689,200"
55,"Dec 05, 2022",121.75,124.67,121.35,122.43,122.43,"35,474,900"
56,"Dec 02, 2022",117.83,124.04,117.61,123.49,123.49,"39,950,500"
57,"Dec 01, 2022",119.20,121.20,118.40,120.44,120.44,"36,551,400"
58,"Nov 30, 2022",109.51,118.16,109.38,118.10,118.10,"43,348,600"
59,"Nov 29, 2022",109.54,110.94,108.54,109.46,109.46,"23,899,200"
60,"Nov 28, 2022",110.78,112.04,108.38,108.78,108.78,"23,309,400"
61,"Nov 25, 2022",111.30,112.73,111.02,111.41,111.41,"12,007,600"
62,"Nov 23, 2022",111.72,112.67,110.73,112.24,112.24,"21,343,100"
63,"Nov 22, 2022",109.86,111.62,108.32,111.44,111.44,"29,029,000"
64,"Nov 21, 2022",111.52,112.37,109.19,109.86,109.86,"24,351,100"
65,"Nov 18, 2022",113.80,114.32,110.62,112.05,112.05,"33,357,700"
66,"Nov 17, 2022",110.41,112.33,109.80,111.45,111.45,"35,093,800"
67,"Nov 16, 2022",114.50,116.08,112.66,113.23,113.23,"33,287,800"
68,"Nov 15, 2022",116.07,118.74,114.41,117.08,117.08,"50,670,500"
69,"Nov 14, 2022",110.99,116.27,110.80,114.22,114.22,"53,395,000"
70,"Nov 11, 2022",109.23,114.90,108.81,113.02,113.02,"59,961,700"
71,"Nov 10, 2022",107.12,112.75,104.61,111.87,111.87,"80,671,000"
